driver,winner,amount_paid,points
Albon,Devika,30,0
Alonso,Brandon,0,0
Antonelli,Brandon,112,48
Bearman,Devika,15,15
Bortoleto,Brandon,17,2
Bottas,Devika,1,0
Colapinto,Devika,2,1
Gasly,Devika,7,9
Hadjar,Brandon,53,4
Hamilton,Brandon,80,33
Hulkenberg,Devika,25,0
Lawson,Brandon,20,8
Leclerc,Brandon,250,34
Lindblad,Devika,5,6
Norris,Devika,280,15
Ocon,Brandon,1,0
Perez,Devika,10,0
Piastri,Devika,330,3
Russell,Brandon,200,51
Sainz,Devika,50,2
Stroll,Devika,0,0
Verstappen,Brandon,280,9
